field code,Genus-Species,Genus,Species,revised species code,,revised species,reproductive mode,,,,,
aa,Antillogorgia americana,Antillogorgia,americana,aa,Antillogorgia americana,americana,1,,,,,
aa2,Antillogorgia americana-like new species,Antillogorgia,aa2,aa,Antillogorgia americana,americana,2,,,,,
aalb,Antillogorgia albatrossae,Antillogorgia,albatrossae,aalb,Antillogorgia albatrossae,albatrossae,UNK,,,,,
ab,Antillogorgia bipinnata,Antillogorgia,bipinnata,ab,Antillogorgia bipinnata,bipinnata,4,,,,,
abl,Antillogorgia blanquillensis,Antillogorgia,blanquillensis,abl,Antillogorgia blanquillensis,blanquillensis,2,,,,,
ac,Antillogorgia acerosa,Antillogorgia,acerosa,ac,Antillogorgia acerosa,acerosa,2,,,,,
ae,Antillogorgia elisabethae,Antillogorgia,elisabethae,ae,Antillogorgia elisabethae,elisabethae,4,,,,,
ah,Antillogorgia hummelincki,Antillogorgia,hummelincki,ah,Antillogorgia hummelincki,hummelincki,3,,,,,
ak,Antillogorgia kallos,Antillogorgia,kallos,ak,Antillogorgia kallos,kallos,4,,,,,
an,Antillogorgia navia,Antillogorgia,navia,an,Antillogorgia navia,navia,UNK,,,,,
ar,Antillogorgia rigida,Antillogorgia,rigida,ar,Antillogorgia rigida,rigida,2,,,,,
asp,Antillogorgia sp,Antillogorgia,sp,asp,Antillogorgia sp,sp,UNK,,,,,
ax,Antillogorgia hystrix,Antillogorgia,hystrix,ax,Antillogorgia hystrix,hystrix,4,,,,,
bae,Briareum asbestinum (encrusting),Briareum,asbestinum (encrusting),bae,Briareum asbestinum (encrusting),asbestinum (encrusting),4,,,,,
ban,Briareum asbestinum (nodular),Briareum,asbestinum (nodular),ban,Briareum asbestinum (nodular),asbestinum (nodular),4,,,,,
bau,Briareum asbestinum (upright),Briareum,asbestinum (upright),bau,Briareum asbestinum (upright),asbestinum (upright),4,,,,,
ea,Eunicea asperula,Eunicea,asperula,ea,Eunicea asperula,asperula,2,,,,,
ec,Eunicea calyculata,Eunicea,calyculata,ec,Eunicea calyculata,calyculata,2,,,,,
ecc,Eunicea calyculata f. coronata,Eunicea,calyculata f. coronata,ec,Eunicea calyculata f. coronata,calyculata f. coronata,2,,,,,
ecl,Eunicea clavigera,Eunicea,clavigera,ecl,Eunicea clavigera,clavigera,4,,,,,
efl,Eunicea flexuosa,Eunicea,flexuosa,efl,Eunicea flexuosa,flexuosa,1,,,,,
efu,Eunicea fusca,Eunicea,fusca,efu,Eunicea fusca,fusca,2,,,,,
ek,Eunicea knighti,Eunicea,knighti,ek,Eunicea knighti,knighti,2,,,,,
elc,Eunicea lacinata,Eunicea,lacinata,elc,Eunicea lacinata,lacinata,3,,,,,
elx,Eunicea laxispica,Eunicea,laxispica,ems,Eunicea mammosa group,mammosa group,2,,,,,
em,Eunicea mammosa,Eunicea,mammosa,ems,Eunicea mammosa group,mammosa group,1,,,,,
epa,Eunicea palmeri,Eunicea,palmeri,epa,Eunicea palmeri,palmeri,3,,,,,
epi,Eunicea pinta,Eunicea,pinta,epi,Eunicea pinta,pinta,2,,,,,
epl,Eunicea pallida,Eunicea,pallida,epl,Eunicea pallida,pallida,2,,,,,
ery,Erythropodium caribaeorum,Erythropodium,caribaeorum,ery,Erythropodium caribaeorum,caribaeorum,UNK,,,,,
esp,Eunicea sp,Eunicea,sp,esp,Eunicea sp,sp,2,,,,,
esu,Eunicea succinea,Eunicea,succinea,ems,Eunicea mammosa group,mammosa group,2,,,,,
esup,Eunicea succinea f. plantaginea,Eunicea,succinea f. plantaginea,ems,Eunicea mammosa group,mammosa group,2,,,,,
eta,Eunicea tayrona,Eunicea,tayrona,eta,Eunicea tayrona,tayrona,2,,,,,
eto,Eunicea tourneforti,Eunicea,tourneforti,eto,Eunicea tourneforti,tourneforti,3,,,,,
etoa,Eunicea tourneforti f. atra,Eunicea,tourneforti f. atra,etoa,Eunicea tourneforti f. atra,tourneforti f. atra,3,,,,,
gf,Gorgonia flabellum,Gorgonia,flabellum,gf,Gorgonia flabellum,flabellum,1,,,,,
gm,Gorgonia mariae,Gorgonia,mariae,gvm,Gorgonia mariae,mariae,2,,,,,
gv,Gorgonia ventalina,Gorgonia,ventalina,gvm,Gorgonia ventalina,ventalina,1,,,,,
ma,Muricea atlantica,Muricea,atlantica,mma,Muricea muricata/atlantica,muricata/atlantica,3,,,,,
me,Muricea elongata,Muricea,elongata,me,Muricea elongata,elongata,3,,,,,
mf,Muriceopsis flavida,Muriceopsis,flavida,mf,Muriceopsis flavida,flavida,2,,,,,
ml,Muricea laxa,Muricea,laxa,ml,Muricea laxa,laxa,3,,,,,
mm,Muricea muricata,Muricea,muricata,mma,Muricea muricata/atlantica,muricata/atlantica,3,,,,,
mpe,Muricea pendula,Muricea,pendula,mpe,Muricea pendula,pendula,3,,,,,
mpi,Muricea pinnata,Muricea,pinnata,mpi,Muricea pinnata,pinnata,3,,,,,
mpsp,Muriceopsis sp,Muriceopsis,sp,mpsp,Muriceopsis sp,sp,UNK,,,,,
ms,Muriceopsis sulphurea,Muriceopsis,sulphurea,ms,Muriceopsis sulphurea,sulphurea,UNK,,,,,
msp,Muricea sp,Muricea,sp,msp,Muricea sp,sp,3,,,,,
pa,Pterogorgia anceps,Pterogorgia,anceps,pa,Pterogorgia anceps,anceps,3,,,,,
pc,Pseudoplexaura crucis,Pseudoplexaura,crucis,pc,Pseudoplexaura crucis,crucis,2,,,,,
pci,Pterogorgia citrina,Pterogorgia,citrina,pci,Pterogorgia citrina,citrina,3,,,,,
pd,Plexaurella dichotoma,Plexaurella,dichotoma,pd,Plexaurella dichotoma,dichotoma,2,,,,,
pf,Pseudoplexaura flagellosa,Pseudoplexaura,flagellosa,pfpw,Pseudoplexaura wagenaari/flagellosa,wagenaari/flagellosa,1,,,,,
pfu,Plexaurella fusifera,Plexaurella,fusifera,pd,Plexaurella dichotoma,dichotoma,1,,,,,
pg,Plexaurella grisea,Plexaurella,grisea,pg,Plexaurella grisea,grisea,1,,,,,
pgu,Pterogorgia guadalupensis,Pterogorgia,guadalupensis,pgu,Pterogorgia guadalupensis,guadalupensis,4,,,,,
ph,Plexaura homomalla,Plexaura,homomalla,ph,Plexaura homomalla,homomalla,1,,,,,
phk,Plexaura kukenthali,Plexaura, kukenthali,phk,Plexaura kukenthali,kukenthali,4,,,,,
pk,Plexaura kuna,Plexaura,kuna,pk,Plexaura kuna,kuna,1,,,,,
pllsp,Plexaurella sp,Plexaurella,sp,pllsp,Plexaurella sp,sp,2,,,,,
plxsp,Plexaura sp,Plexaura,sp,plxsp,Plexaura sp,sp,2,,,,,
pn,Plexaura nina,Plexaura,nina,pn,Plexaura nina,nina,2,,,,,
pnu,Plexaurella nutans,Plexaurella,nutans,pnu,Plexaurella nutans,nutans,2,,,,,
pp,Pseudoplexaura porosa,Pseudoplexaura,porosa,pp,Pseudoplexaura porosa,porosa,1,,,,,
pssp,Pseudoplexaura sp,Pseudoplexaura,sp,pssp,Pseudoplexaura sp,sp,1,,,,,
ptsp,Pterogorgia sp,Pterogorgia,sp,ptsp,Pterogorgia sp,sp,3,,,,,
pw,Pseudoplexaura wagenaari,Pseudoplexaura,wagenaari,pfpw,Pseudoplexaura wagenaari/flagellosa,wagenaari/flagellosa,2,,,,,
nd,nd,nd,nd,nd,nd,nd,UNK,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
