Species,Reproductive_mode
Agaricia fragilis,Brooder
Agaricia agaricites,Brooder
A. crasa,Brooder
Agaricia humilis,Brooder
Agaricia lamarcki,Brooder
Acropora cervicornis,Broadcaster
Acropora  palmata ,Broadcaster
Colpophyllia natans,Broadcaster
Diploria labyrinthiformis,Broadcaster
Eusmilia fastigiata,Broadcaster
Favia fragum     ,Brooder
Mycetophyllia aliciae ,UNK
Manicina areolata,Brooder
Madracis mirabilis,Brooder
Montastraea cavernosa,Broadcaster
Madracis decactis,Brooder
Meandrina meandrites,Broadcaster
Orbicella annularis,Broadcaster
Orbicella faveolata,Broadcaster
Orbicella franksi,Broadcaster
Porites astreoides,Brooder
Pseudodiploria clivosa,Broadcaster
P. colonensis,Brooder
Porites furcata     ,Brooder
Porites porites    ,Brooder
Pseudodiploria strigosa,Broadcaster
Solenastrea bournoni,UNK
Scolymia cubensis,Brooder
Stephanocoenia intercepta,Broadcaster
Siderastrea radians,Brooder
Siderastrea siderea,Broadcaster
Dendrogyra cylindrus,Broadcaster
Isophyllia sinuosa,Brooder
Mycetophyllia ferox,Brooder
Mycetophyllia lamarckiana,Brooder
Dichocoenia stokesii,Broadcaster
Mussa angulosa,Brooder