coralSpecies,Reproductive_mode,Source,Notes
Porites porites,Brooder,https://researchonline.jcu.edu.au/5444/1/5444_Baird_et_al_2009.pdf,
Colpophyllia natans,Broadcaster,https://en.wikipedia.org/wiki/Colpophyllia ,
Agaricia grahamae,Brooder,https://pmc.ncbi.nlm.nih.gov/articles/PMC9303685/ ,
Acropora palmata,Broadcaster,https://pmc.ncbi.nlm.nih.gov/articles/PMC10402697/ ,
Porites furcata,Brooder,https://www.ingentaconnect.com/content/umrsmas/bullmar/2008/00000082/00000001/art00007 ,
Agaricia lamarcki,Brooder,https://pmc.ncbi.nlm.nih.gov/articles/PMC9303685/ ,
Acropora cervicornis,Broadcaster,https://nsuworks.nova.edu/occ_facarticles/576/ ,
Mycetophyllia daniana,Brooder,https://reefs.com/magazine/coral-reproduction-part-three-stony-coral-sexuality-reproduction-modes-puberty-size-sex-ratios-and-life-spans/,FIX SPELLING (danaana) https://www.marinespecies.org/aphia.php?p=taxdetails&id=290425 
Porites divaricata,Brooder,https://reefs.com/magazine/coral-reproduction-part-three-stony-coral-sexuality-reproduction-modes-puberty-size-sex-ratios-and-life-spans/,
Mycetophyllia aliciae,Brooder,https://reefs.com/magazine/coral-reproduction-part-three-stony-coral-sexuality-reproduction-modes-puberty-size-sex-ratios-and-life-spans/,
Madracis formosa,Brooder,https://www.int-res.com/articles/meps2002/227/m227p221.pdf ,
Solenastrea hyades,Broadcaster,https://reefs.com/magazine/coral-reproduction-part-three-stony-coral-sexuality-reproduction-modes-puberty-size-sex-ratios-and-life-spans/,
Isopyhyllastrea rigida,Brooder,https://pubmed.ncbi.nlm.nih.gov/27867763/ ,FIX SPELLING (Isophyllastrea)
Oculina diffusa,Broadcaster,https://en.wikipedia.org/wiki/Oculina_diffusa ,
Agaricia tenuifolia,Brooder,https://reefs.com/magazine/coral-reproduction-part-three-stony-coral-sexuality-reproduction-modes-puberty-size-sex-ratios-and-life-spans/ ,
Agaricia humilis,Brooder,https://pmc.ncbi.nlm.nih.gov/articles/PMC9303685/ ,
Favia fragum,Brooder,https://www.sciencedirect.com/science/article/abs/pii/S0022098110001061 ,
Helioseris cucullata,Brooder,https://www.mdpi.com/1424-2818/3/3/296,
Scolymia lacera,NA,"https://en.wikipedia.org/wiki/Scolymia_cubensis maybe broadcast like Scolymia cubensis , but other Mussid corals are brooders",
Solenastrea bournoni,Broadcaster,https://onlinelibrary.wiley.com/doi/10.1155/2012/370247 ,
Agaricia grahamae,Brooder,https://reefs.com/magazine/coral-reproduction-part-three-stony-coral-sexuality-reproduction-modes-puberty-size-sex-ratios-and-life-spans/,
Agaricia undata,Brooder,https://reefs.com/magazine/coral-reproduction-part-three-stony-coral-sexuality-reproduction-modes-puberty-size-sex-ratios-and-life-spans/,
Isopyhyllastrea rigida,Brooder,https://pubmed.ncbi.nlm.nih.gov/27867763/ ,